This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201703 CRSP database.
The 1-month TBill return is from Ibbotson and Associates Inc.

,Mkt-RF,SMB,HML,RMW,CMA,RF
199510,   -1.52,   -4.07,   -0.75,    1.95,   -0.05,    0.47
199511,    3.96,   -1.18,    0.95,   -0.84,    1.17,    0.42
199512,    1.03,    0.70,    0.86,   -1.05,    2.97,    0.49
199601,    2.26,   -2.52,    0.32,   -0.22,    2.25,    0.43
199602,    1.33,    1.78,   -1.44,    0.21,   -1.79,    0.39
199603,    0.73,    1.51,    0.99,    1.14,   -0.96,    0.39
199604,    2.06,    4.63,   -3.90,    0.07,   -2.17,    0.46
199605,    2.36,    3.13,   -1.21,    0.26,   -0.21,    0.42
199606,   -1.14,   -3.47,    1.55,    3.42,    1.09,    0.40
199607,   -5.97,   -3.61,    4.42,    3.23,    2.61,    0.45
199608,    2.77,    2.52,   -0.43,   -0.49,   -2.43,    0.41
199609,    5.01,   -1.33,   -3.13,    1.33,   -2.17,    0.44
199610,    0.86,   -3.88,    5.10,    1.40,    2.97,    0.42
199611,    6.25,   -3.80,    1.21,    1.70,   -0.73,    0.41
199612,   -1.70,    3.20,    0.86,    0.38,    1.52,    0.46
199701,    4.98,   -1.82,   -1.65,    1.05,   -0.27,    0.45
199702,   -0.49,   -2.54,    5.18,    0.53,    3.42,    0.39
199703,   -5.02,   -0.44,    3.78,    0.85,    1.66,    0.43
199704,    4.04,   -5.74,   -0.07,    2.90,   -0.91,    0.43
199705,    6.74,    4.64,   -3.91,   -1.14,   -2.91,    0.49
199706,    4.10,    1.24,    1.21,    0.58,    0.54,    0.37
199707,    7.33,   -2.85,    0.85,   -0.40,   -2.53,    0.43
199708,   -4.15,    7.66,    1.37,   -0.91,   -0.04,    0.41
199709,    5.35,    2.56,    0.01,   -1.39,   -0.90,    0.44
199710,   -3.80,   -0.48,    1.94,    1.22,    1.88,    0.42
199711,    2.98,   -5.03,    0.77,    3.19,    1.67,    0.39
199712,    1.32,   -1.98,    3.45,    1.35,    1.90,    0.48
199801,    0.15,   -1.41,   -1.43,    0.57,   -0.86,    0.43
199802,    7.04,   -0.04,   -0.15,   -0.95,   -2.44,    0.39
199803,    4.76,   -0.61,    1.03,   -0.64,   -0.48,    0.39
199804,    0.73,   -0.02,    0.78,   -2.19,   -0.22,    0.43
199805,   -3.07,   -3.11,    4.15,    0.90,    2.54,    0.40
199806,    3.18,   -3.63,   -2.34,   -0.18,   -2.90,    0.41
199807,   -2.46,   -5.29,   -0.98,    2.01,    0.46,    0.40
199808,  -16.08,   -5.03,    3.39,    3.20,    5.85,    0.43
199809,    6.15,   -0.88,   -3.26,   -2.04,   -2.91,    0.46
199810,    7.13,   -3.51,   -2.20,    0.74,    0.29,    0.32
199811,    6.10,    0.64,   -3.13,   -1.05,   -1.14,    0.31
199812,    6.16,   -1.53,   -4.45,   -0.96,   -3.35,    0.38
199901,    3.50,   -0.77,   -4.03,   -2.67,   -6.88,    0.35
199902,   -4.08,   -5.04,    1.37,   -1.09,    4.06,    0.35
199903,    3.45,   -4.33,   -2.65,   -4.31,   -1.37,    0.43
199904,    4.33,    4.60,    2.54,   -2.61,    0.94,    0.37
199905,   -2.46,    3.76,    2.33,    1.06,    3.31,    0.34
199906,    4.77,    2.26,   -3.58,    1.41,   -3.39,    0.40
199907,   -3.47,    2.53,   -0.80,    0.42,    3.14,    0.38
199908,   -1.38,   -1.90,   -1.27,   -0.30,    0.40,    0.39
199909,   -2.81,    2.59,   -3.37,   -0.83,   -1.02,    0.39
199910,    6.13,   -7.05,   -2.97,   -1.97,   -1.18,    0.39
199911,    3.37,    5.91,   -6.51,   -4.36,   -1.49,    0.36
199912,    7.72,    5.57,   -8.69,   -7.79,   -5.06,    0.44
200001,   -4.74,    4.27,   -0.45,   -5.69,    4.77,    0.41
200002,    2.45,   18.73,  -10.49,  -19.11,    0.16,    0.43
200003,    5.20,  -15.28,    7.86,   12.39,   -1.67,    0.47
200004,   -6.40,   -5.60,    8.57,    7.26,    5.23,    0.46
200005,   -4.42,   -3.53,    2.39,    4.62,    0.90,    0.50
200006,    4.64,   10.47,  -10.03,   -7.77,   -2.83,    0.40
200007,   -2.51,   -0.92,    8.15,    6.23,    2.98,    0.48
200008,    7.03,   -1.08,   -0.69,   -3.09,    0.64,    0.50
200009,   -5.45,    0.22,    6.23,    3.23,    6.39,    0.51
200010,   -2.76,   -2.78,    5.55,    9.75,    4.65,    0.56
200011,  -10.72,   -0.38,   11.29,   13.52,    8.50,    0.51
200012,    1.19,    3.15,    7.30,    1.95,    5.71,    0.50
200101,    3.13,    5.73,   -4.88,   -4.90,   -6.55,    0.54
200102,  -10.05,    2.74,   12.91,    9.48,    9.55,    0.38
200103,   -7.26,    2.40,    6.49,    3.53,    3.95,    0.42
200104,    7.94,   -0.71,   -4.69,   -3.06,   -3.98,    0.39
200105,    0.72,    3.61,    3.13,    0.34,    2.22,    0.32
200106,   -1.94,    6.57,   -1.09,    1.66,   -1.80,    0.28
200107,   -2.13,   -2.84,    5.61,    7.51,    3.06,    0.30
200108,   -6.46,    2.73,    2.56,    3.88,    6.57,    0.31
200109,   -9.25,   -5.57,    1.56,    5.36,    3.25,    0.28
200110,    2.46,    5.32,   -8.02,   -2.85,   -4.56,    0.22
200111,    7.54,   -0.36,    2.00,   -3.94,   -1.64,    0.17
200112,    1.61,    5.12,    1.08,    0.40,   -0.28,    0.15
200201,   -1.44,    1.20,    3.35,    4.36,    2.88,    0.14
200202,   -2.29,   -0.46,    2.51,    7.80,    5.14,    0.13
200203,    4.24,    4.25,    1.11,   -1.59,    0.60,    0.13
200204,   -5.20,    6.61,    3.92,    4.26,    5.38,    0.15
200205,   -1.38,   -3.05,    1.70,    2.29,    2.44,    0.14
200206,   -7.21,    3.79,    0.12,    3.95,    2.55,    0.13
200207,   -8.18,   -6.29,   -3.52,    3.99,   -0.70,    0.15
200208,    0.50,   -1.23,    2.53,    1.44,   -1.60,    0.14
200209,  -10.35,    3.06,    1.26,    3.19,   -2.28,    0.14
200210,    7.84,   -4.08,   -5.40,   -3.16,    0.92,    0.14
200211,    5.96,    2.90,   -0.95,   -9.55,    5.01,    0.12
200212,   -5.76,    0.54,    2.21,    6.16,   -1.62,    0.11
200301,   -2.57,    0.86,   -0.83,   -0.66,    0.71,    0.10
200302,   -1.88,   -0.89,   -1.47,    1.10,   -0.52,    0.09
200303,    1.09,    0.67,   -1.93,    1.89,   -0.77,    0.10
200304,    8.22,    1.03,    1.11,   -4.68,    1.01,    0.10
200305,    6.05,    4.88,   -0.10,   -7.16,    3.14,    0.09
200306,    1.42,    1.62,    0.57,    0.58,   -0.35,    0.10
200307,    2.35,    4.80,   -1.02,   -4.03,    1.98,    0.07
200308,    2.34,    2.59,    2.10,   -2.37,    2.30,    0.07
200309,   -1.24,    0.52,    0.01,    1.11,    0.20,    0.08
200310,    6.08,    2.72,    1.93,   -1.58,    1.67,    0.07
200311,    1.35,    2.33,    1.96,   -0.22,    1.84,    0.07
200312,    4.29,   -2.73,    2.35,   -0.01,    0.98,    0.08
200401,    2.15,    2.50,    1.96,   -3.60,    3.28,    0.07
200402,    1.40,   -0.87,    0.48,    2.52,   -1.24,    0.06
200403,   -1.32,    2.12,    0.25,    1.53,   -0.99,    0.09
200404,   -1.83,   -2.23,   -2.62,    3.17,   -2.88,    0.08
200405,    1.17,   -0.39,   -0.35,   -1.17,    0.02,    0.06
200406,    1.86,    2.54,    1.35,    1.03,   -0.36,    0.08
200407,   -4.06,   -2.98,    4.09,    5.26,   -1.67,    0.10
200408,    0.08,   -1.24,    0.96,    1.27,   -1.47,    0.11
200409,    1.60,    3.31,   -0.24,   -1.24,   -1.92,    0.11
200410,    1.43,    0.30,   -0.56,   -0.11,    0.48,    0.11
200411,    4.54,    4.12,    1.81,   -1.08,   -0.26,    0.15
200412,    3.43,    0.03,   -0.04,   -1.36,    0.56,    0.16
200501,   -2.76,   -1.11,    1.95,    3.12,   -1.39,    0.16
200502,    1.89,   -0.27,    1.65,    1.32,   -0.08,    0.16
200503,   -1.97,   -1.42,    1.54,    0.51,    1.09,    0.21
200504,   -2.61,   -4.04,   -0.35,    0.82,   -0.96,    0.21
200505,    3.65,    2.70,   -0.81,   -1.39,    0.27,    0.24
200506,    0.57,    3.25,    2.69,    1.06,   -0.49,    0.23
200507,    3.92,    2.80,   -0.54,   -1.16,   -0.95,    0.24
200508,   -1.22,   -0.91,    1.27,   -2.37,    0.44,    0.30
200509,    0.49,   -0.30,    0.76,    0.54,   -0.54,    0.29
200510,   -2.02,   -1.40,    0.25,   -0.60,   -1.29,    0.27
200511,    3.61,    0.79,   -1.19,   -0.62,   -1.14,    0.31
200512,   -0.25,   -0.28,    0.40,    0.26,    0.23,    0.32
200601,    3.04,    5.76,    1.12,   -1.07,   -0.47,    0.35
200602,   -0.30,   -0.45,   -0.25,   -0.60,    1.99,    0.34
200603,    1.46,    3.41,    0.51,   -0.29,   -0.51,    0.37
200604,    0.73,   -0.84,    2.61,    1.11,   -0.21,    0.36
200605,   -3.57,   -3.00,    2.57,    0.90,    1.32,    0.43
200606,   -0.35,   -0.27,    0.86,    1.29,   -0.06,    0.40
200607,   -0.78,   -3.66,    2.92,    1.72,    0.95,    0.40
200608,    2.03,    0.45,   -1.72,   -1.81,    2.14,    0.42
200609,    1.84,   -1.43,    0.03,    0.91,    0.55,    0.41
200610,    3.23,    1.95,   -0.05,   -0.27,    0.24,    0.41
200611,    1.71,    0.83,    0.04,    0.12,   -0.88,    0.42
200612,    0.87,   -0.79,    3.16,   -0.71,    2.04,    0.40
200701,    1.40,    0.05,   -0.13,    0.04,    0.25,    0.44
200702,   -1.96,    1.39,   -0.10,   -0.46,   -0.78,    0.38
200703,    0.68,    0.06,   -0.23,    0.18,   -0.60,    0.43
200704,    3.49,   -2.01,   -1.15,    1.00,    1.04,    0.44
200705,    3.24,    0.25,   -0.07,    1.22,   -1.35,    0.41
200706,   -1.96,    0.76,   -1.11,    0.43,    0.04,    0.40
200707,   -3.73,   -2.88,   -3.34,    0.48,   -1.08,    0.40
200708,    0.92,   -0.33,   -2.25,   -1.06,   -0.56,    0.42
200709,    3.22,   -2.41,   -1.91,   -0.56,   -3.33,    0.32
200710,    1.80,    0.04,   -2.62,   -0.17,   -0.15,    0.32
200711,   -4.83,   -2.83,   -1.18,    1.58,   -0.35,    0.34
200712,   -0.87,    0.19,   -0.44,    0.90,   -1.08,    0.27
200801,   -6.36,   -0.50,    3.69,    1.94,    2.27,    0.21
200802,   -3.09,   -0.49,   -0.88,    0.79,   -1.13,    0.13
200803,   -0.93,    0.69,   -0.18,    0.78,    0.50,    0.17
200804,    4.60,   -1.15,   -0.99,    1.55,   -2.54,    0.18
200805,    1.86,    3.18,   -1.49,    0.87,    0.04,    0.18
200806,   -8.44,    1.19,   -2.47,    4.29,   -0.48,    0.17
200807,   -0.77,    3.68,    5.89,   -0.91,    1.10,    0.15
200808,    1.53,    3.43,    1.57,    1.67,    0.82,    0.13
200809,   -9.24,    0.31,    6.26,    2.24,    1.81,    0.15
200810,  -17.23,   -3.10,   -2.75,    3.76,    1.88,    0.08
200811,   -7.86,   -3.87,   -5.85,    4.95,    2.64,    0.03
200812,    1.74,    3.39,   -0.21,    0.13,   -1.36,    0.00
200901,   -8.12,   -2.01,  -11.25,    0.26,   -1.23,    0.00
200902,  -10.10,   -1.19,   -7.27,    1.89,   -1.14,    0.01
200903,    8.95,    0.62,    3.62,   -2.49,   -2.24,    0.02
200904,   10.19,    6.63,    5.44,    0.16,    0.19,    0.01
200905,    5.21,   -2.34,   -0.14,   -1.21,   -2.14,    0.00
200906,    0.43,    2.31,   -2.66,   -0.93,   -0.17,    0.01
200907,    7.72,    2.48,    5.22,   -0.45,    3.19,    0.01
200908,    3.33,    0.03,    7.85,   -3.05,    3.13,    0.01
200909,    4.08,    2.79,    0.97,    1.69,    0.34,    0.01
200910,   -2.59,   -4.82,   -4.26,    4.25,   -1.61,    0.00
200911,    5.56,   -2.76,   -0.12,    0.87,    0.12,    0.00
200912,    2.75,    6.27,    0.00,    0.70,   -0.08,    0.01
201001,   -3.36,    0.27,    0.30,   -1.50,    0.41,    0.00
201002,    3.40,    1.45,    3.18,   -0.45,    1.40,    0.00
201003,    6.31,    1.84,    2.15,   -0.62,    1.64,    0.01
201004,    2.00,    5.07,    2.83,    0.93,    1.70,    0.01
201005,   -7.89,   -0.02,   -2.41,    1.05,   -0.18,    0.01
201006,   -5.56,   -2.56,   -4.52,   -0.16,   -1.51,    0.01
201007,    6.93,    0.11,   -0.21,    0.13,    1.97,    0.01
201008,   -4.77,   -3.12,   -1.96,    0.49,   -1.74,    0.01
201009,    9.54,    3.73,   -3.12,   -0.06,    0.45,    0.01
201010,    3.88,    0.78,   -2.52,    1.27,   -0.17,    0.01
201011,    0.60,    3.58,   -0.91,    0.31,    1.63,    0.01
201012,    6.82,    0.98,    3.78,   -3.50,    3.23,    0.01
201101,    1.99,   -2.42,    0.82,   -0.73,    0.72,    0.01
201102,    3.49,    1.66,    1.10,   -1.90,    0.89,    0.01
201103,    0.45,    2.63,   -1.57,    1.42,    0.04,    0.01
201104,    2.90,   -0.48,   -2.53,    1.03,   -0.86,    0.00
201105,   -1.27,   -0.72,   -2.09,    1.98,   -1.44,    0.00
201106,   -1.75,    0.07,   -0.33,    2.25,   -1.45,    0.00
201107,   -2.36,   -1.33,   -1.16,    2.55,   -1.76,    0.00
201108,   -5.99,   -3.20,   -2.40,    3.08,   -0.26,    0.01
201109,   -7.59,   -3.78,   -1.37,    1.96,    0.23,    0.00
201110,   11.35,    3.59,   -0.22,   -1.84,   -0.84,    0.00
201111,   -0.28,   -0.28,   -0.42,    1.72,    1.52,    0.00
201112,    0.74,   -0.41,    1.71,    0.92,    2.46,    0.00
201201,    5.05,    2.14,   -1.11,   -1.85,   -1.40,    0.00
201202,    4.42,   -1.58,    0.11,   -0.18,   -0.01,    0.00
201203,    3.11,   -0.48,    0.89,   -0.51,    0.80,    0.00
201204,   -0.85,   -0.61,   -0.46,    1.16,    0.68,    0.00
201205,   -6.19,   -0.11,   -0.52,    2.10,    2.36,    0.01
201206,    3.89,    0.96,    0.41,   -1.30,    0.36,    0.00
201207,    0.79,   -2.71,   -0.25,    0.74,    0.17,    0.00
201208,    2.55,    0.42,    1.34,   -1.45,   -0.68,    0.01
201209,    2.73,    0.68,    1.57,   -1.08,    1.61,    0.01
201210,   -1.76,   -0.78,    3.64,   -1.45,    2.25,    0.01
201211,    0.78,    0.30,   -0.81,    0.40,    0.91,    0.01
201212,    1.18,    1.89,    3.52,   -1.73,    0.87,    0.01
201301,    5.57,    0.57,    0.95,   -1.93,    1.44,    0.00
201302,    1.29,   -0.35,    0.11,   -0.64,    0.47,    0.00
201303,    4.03,    0.91,   -0.26,    0.43,    1.23,    0.00
201304,    1.55,   -2.30,    0.57,    0.22,    0.42,    0.00
201305,    2.80,    2.09,    2.49,   -1.62,   -0.79,    0.00
201306,   -1.20,    1.35,   -0.13,   -0.39,    0.03,    0.00
201307,    5.65,    1.80,    0.61,   -1.54,    0.55,    0.00
201308,   -2.71,   -0.04,   -2.77,    0.75,   -2.13,    0.00
201309,    3.77,    2.71,   -1.20,   -0.54,   -1.31,    0.00
201310,    4.18,   -1.51,    1.10,    2.89,    0.87,    0.00
201311,    3.12,    1.38,    0.26,    0.32,    0.10,    0.00
201312,    2.81,   -0.50,   -0.31,   -0.47,    0.08,    0.00
201401,   -3.32,    0.61,   -2.13,   -3.64,   -1.43,    0.00
201402,    4.65,    0.13,   -0.37,   -0.47,   -0.38,    0.00
201403,    0.43,   -1.15,    5.03,    1.99,    1.93,    0.00
201404,   -0.19,   -4.10,    1.10,    3.51,    1.10,    0.00
201405,    2.06,   -1.87,   -0.36,    0.35,   -1.11,    0.00
201406,    2.61,    3.03,   -0.66,   -1.98,   -1.88,    0.00
201407,   -2.04,   -4.23,   -0.02,    1.08,    0.45,    0.00
201408,    4.24,    0.32,   -0.55,   -0.54,   -0.68,    0.00
201409,   -1.97,   -3.75,   -1.19,    1.02,   -0.49,    0.00
201410,    2.52,    3.84,   -1.68,   -0.63,   -0.21,    0.00
201411,    2.55,   -2.26,   -2.98,    1.41,    0.18,    0.00
201412,   -0.06,    2.90,    2.12,   -1.35,    0.90,    0.00
201501,   -3.11,   -0.83,   -3.47,    1.39,   -1.70,    0.00
201502,    6.13,    0.23,   -1.73,   -1.05,   -1.60,    0.00
201503,   -1.12,    3.10,   -0.45,    0.11,   -0.55,    0.00
201504,    0.59,   -3.04,    1.84,    0.10,   -0.52,    0.00
201505,    1.36,    0.80,   -1.32,   -1.74,   -0.72,    0.00
201506,   -1.53,    2.87,   -0.80,    0.43,   -1.53,    0.00
201507,    1.54,   -4.49,   -4.21,   -0.31,   -2.62,    0.00
201508,   -6.04,    0.41,    2.71,    0.62,    1.15,    0.00
201509,   -3.08,   -2.80,    0.58,    1.36,   -0.51,    0.00
201510,    7.75,   -2.10,   -0.11,    0.91,    0.45,    0.00
201511,    0.56,    3.34,   -0.57,   -2.76,   -1.00,    0.00
201512,   -2.17,   -2.96,   -2.46,   -0.03,    0.17,    0.01
201601,   -5.77,   -3.46,    2.26,    2.25,    2.97,    0.01
201602,   -0.07,    0.97,   -0.48,    3.21,    2.07,    0.02
201603,    6.96,    1.09,    1.11,    1.09,    0.03,    0.02
201604,    0.92,    1.16,    3.25,   -2.98,    1.91,    0.01
201605,    1.78,   -0.74,   -1.79,   -1.22,   -2.65,    0.01
201606,   -0.05,    0.44,   -1.49,    1.16,    1.91,    0.02
201607,    3.95,    2.91,   -0.98,    1.43,   -1.02,    0.02
201608,    0.50,    1.52,    3.18,   -1.24,   -0.56,    0.02
201609,    0.25,    1.72,   -1.34,   -1.85,   -0.05,    0.02
201610,   -2.02,   -3.97,    4.15,    1.36,    0.22,    0.02
201611,    4.86,    7.03,    8.44,   -0.68,    3.83,    0.01
201612,    1.81,    0.32,    3.52,    0.95,   -0.21,    0.03
201701,    1.94,   -1.25,   -2.69,    0.10,   -0.95,    0.04
201702,    3.57,   -1.97,   -1.80,    0.50,   -1.65,    0.04
201703,    0.17,    0.74,   -3.32,    0.76,   -1.08,    0.03

 Annual Factors: January-December 
,Mkt-RF,SMB,HML,RMW,CMA,RF
  1964,   12.54,    0.31,   10.09,   -2.86,    6.84,    3.54
  1965,   10.52,   24.34,    7.53,   -1.51,   -2.91,    3.93
  1966,  -13.51,    2.39,   -0.86,    0.91,   -0.56,    4.76
  1967,   24.49,   50.36,   -8.94,    4.73,  -15.40,    4.21
  1968,    8.79,   26.13,   18.55,  -13.63,   16.15,    5.21
  1969,  -17.54,  -14.02,   -9.83,   10.93,   -4.20,    6.58
  1970,   -6.49,  -12.39,   22.45,   -3.54,   24.37,    6.52
  1971,   11.78,    5.65,  -11.20,    9.67,   -5.88,    4.39
  1972,   13.05,  -11.43,    2.05,    7.77,   -3.05,    3.84
  1973,  -26.24,  -20.05,   18.23,   -9.50,    6.92,    6.93
  1974,  -35.74,    0.72,   10.04,   -3.87,   22.81,    8.00
  1975,   32.44,   19.06,    9.00,    0.88,    0.49,    5.80
  1976,   21.90,   19.99,   24.47,   -6.22,    7.69,    5.08
  1977,   -8.27,   24.69,    7.50,    2.14,   -0.25,    5.12
  1978,    1.03,   13.69,    0.50,    5.16,    4.13,    7.18
  1979,   13.08,   21.49,   -1.39,   -2.00,   -1.64,   10.38
  1980,   22.12,    4.87,  -24.95,   12.38,  -11.18,   11.24
  1981,  -18.13,    7.44,   25.03,   -1.22,   10.30,   14.71
  1982,   10.66,    7.33,   13.44,   -4.35,   17.94,   10.54
  1983,   13.75,   11.85,   20.67,    0.07,   16.44,    8.80
  1984,   -6.06,   -8.41,   19.32,   15.10,    3.60,    9.85
  1985,   24.91,   -0.54,    1.31,   11.62,   -2.56,    7.72
  1986,   10.12,  -10.35,    9.47,    7.38,    9.85,    6.16
  1987,   -3.87,  -11.30,   -1.63,    5.87,    6.56,    5.47
  1988,   11.55,    6.46,   14.88,    3.43,    9.74,    6.35
  1989,   20.49,  -13.07,   -4.25,    2.39,    8.18,    8.37
  1990,  -13.95,  -14.41,   -9.60,    7.08,    0.79,    7.81
  1991,   29.18,   15.77,  -14.47,   11.70,  -15.05,    5.60
  1992,    6.23,    9.08,   24.22,    7.43,    6.99,    3.51
  1993,    8.21,    5.97,   18.95,   -7.81,   12.31,    2.90
  1994,   -4.10,   -2.65,   -0.72,    5.13,    3.99,    3.90
  1995,   31.22,   -8.34,    5.17,    1.45,    2.82,    5.60
  1996,   15.96,   -2.82,    6.11,   14.93,    0.60,    5.21
  1997,   25.96,   -6.13,   17.31,    9.85,    5.24,    5.26
  1998,   19.46,  -28.67,   -8.82,    0.56,   -4.58,    4.86
  1999,   20.57,    8.97,  -31.97,  -28.38,   -7.79,    4.68
  2000,  -17.59,    4.45,   39.41,   26.69,   32.89,    5.89
  2001,  -15.20,   23.70,   19.58,   19.81,   12.00,    3.83
  2002,  -22.76,    5.83,    7.54,   20.37,   14.46,    1.65
  2003,   30.75,   25.10,    6.66,  -21.18,   17.31,    1.02
  2004,   10.72,    7.45,    8.15,    8.22,   -7.77,    1.20
  2005,    3.09,   -0.89,    8.28,    1.83,   -5.07,    2.98
  2006,   10.60,    1.47,   13.96,    1.75,    8.30,    4.80
  2007,    1.04,   -8.03,  -14.73,    3.93,   -8.16,    4.66
  2008,  -38.34,    3.43,    0.97,   14.85,    4.12,    1.60
  2009,   28.26,    8.08,   -9.14,    3.35,   -2.93,    0.10
  2010,   17.37,   13.17,   -5.17,   -2.24,    9.77,    0.12
  2011,    0.44,   -5.79,   -8.41,   12.62,   -0.88,    0.04
  2012,   16.28,   -0.16,    9.89,   -5.55,    9.55,    0.06
  2013,   35.20,    8.00,    1.54,   -3.03,    1.12,    0.02
  2014,   11.70,   -7.78,   -1.65,    1.07,   -1.60,    0.02
  2015,    0.07,   -5.60,   -9.48,   -0.65,   -8.52,    0.02
  2016,   13.30,    9.28,   23.33,    4.39,    9.68,    0.20
